customer_in_new_file,unique_customer_id,customer_name__c,check_out_customer__c,grade_family__c,grade_name__c,avg_net_weight,daily_loads,current_inventory,productusage,product_delivery_location__c_id
1,001d000000GxWzhAAF,"Mc6 Cattle Feeders, Inc.",12/18/2018 22:32,RAMP,R3000,54682.76106,3,97.52222027,57.86105611,a0f0V00000QfFv7QAF
1,001d000000GxWzhAAF,"Mc6 Cattle Feeders, Inc.",12/19/2018 18:24,SB Plus,V0505,54457.0895,3,104.9785128,94.42454736,a0f0V00000Qc677QAB
1,001d000000GxX05AAF,Southern Sky Dairy,12/18/2018 22:48,OneTrak,T7122,49816.8254,1,58.71075549,4.538771988,a0f0V00000QeHlaQAF
1,001d000000GxX0FAAV,Texas Tech University,12/19/2018 10:44,Sweet Bran,SB60,54651.69231,1,28.02619771,3.011834854,a0fd000000JdWhVAAV
1,001d000000GxX0NAAV,West Texas A&M University,12/19/2018 15:30,Sweet Bran,SB60,54568.15217,1,35.03505408,3.137403144,a0fd000000Ey0UeAAJ
1,001d000000GxX0WAAV,"Tuls Dairy Farms, LLC",12/19/2018 14:56,OneTrak,T7065,49100.75269,2,130.1172744,66.8418868, 
1,001d000000GxX0gAAF,Morning Star Dairy LLC,12/19/2018 12:32,OneTrak,T7995,54251.86325,8,241.6416629,154.1240348,a0f0V00000PRWcUQAX
1,001d000000GxX0hAAF,"Optima Dairy Texas, LLC",12/19/2018 4:17,OneTrak,T7032,54734.77064,2,153.7146327,43.50602443, 
1,001d000000GxX0jAAF,Fox Dairy Ltd.,12/18/2018 21:41,OneTrak,T7995,54489.06667,1,71.1213158,42.77148437,a0f0V00000SE6PcQAL
1,001d000000GxX0vAAF,"Faria Brothers Dairies, LLC",12/19/2018 18:16,Sweet Bran,SB60,54630.51698,4,381.3238416,198.6152222,a0fd000000HWLNtAAP
1,001d000000GxX1eAAF,Cimarron Feeders,12/18/2018 22:55,RAMP,R3000,51779.24367,2,110.9374238,27.14051347,a0fd000000Ey0TBAAZ
1,001d000000GxX1gAAF,Mission Dairy,12/18/2018 20:10,OneTrak,T7995,52597.38298,3,55.57214591,67.43361,a0f0V00000QcEMWQA3
1,001d000000GxX1jAAF,Sandy Creek Dairy,12/18/2018 19:42,OneTrak,T7995,49481.00719,1,52.89404261,25.77435046,a0f0V00000QeYfZQAV
1,001d000000GxX24AAF,Timberview Farms,12/19/2018 13:50,OneTrak,T6135,50950.44444,1,29.40126467,5.798810503,a0f0V00000QcUsrQAF
1,001d000000GxX2PAAV,Wood River Dairy,12/19/2018 13:18,OneTrak,T6140,60562.71261,1,167.4626558,45.40267766,a0f0V00000QnUnmQAF
1,001d000000GxX2iAAF,Coronado Feeders,12/16/2018 0:58,RAMP,R3000,54470.07212,1,155.2898913,51.17292144,a0fd000000Ey0TCAAZ
1,001d000000GxX2iAAF,Coronado Feeders,12/19/2018 7:07,SB Plus,V0500,54206.65517,3,118.3494564,151.3703199,a0f0V00000PR7YUQA1
1,001d000000GxX2qAAF,Stallbaumer Cattle Feeders Inc,12/15/2018 12:07,Sweet Bran,SB60,51959.36937,1,32.86056439,4.792188074,a0fd000000Ey0UHAAZ
1,001d000000GxX2xAAF,Hammink Dairy LLC,12/19/2018 14:25,OneTrak,781,60506.90668,1,102.767191,36.45598553,a0fd000000JN2KiAAL
1,001d000000GxX2zAAF,"Kirkham, Kelly L.",12/18/2018 20:59,Sweet Bran,SB60,51746.94611,1,28.03249604,4.87179678,a0fd000000Ey0TLAAZ
1,001d000000GxX33AAF,Van Ess Dairy LLC,12/19/2018 18:14,OneTrak,T6042,60386.18858,2,73.13176744,56.7846087,a0fd000000MUmuGAAT
1,001d000000GxX3HAAV,Engelmeyer Farms Inc.,12/17/2018 11:08,Sweet Bran,SB60,60862.0122,1,37.00705404,8.882231064,a0fd000000Ey0SpAAJ
1,001d000000GxX4zAAF,"UNL - Beef Feedlot, ARDC",11/28/2018 16:27,Sweet Bran,SB60,61126.99588,1,50.64735435,3.849977403,a0fd000000Ey0UVAAZ
1,001d000000HbMv3AAF,Berry Cattle LLC,12/18/2018 12:44,Sweet Bran,SB60,54422.45989,1,36.37084882,4.781947213,a0fd000000HWLTVAA5
